variable,label,record_type,group,group_label,url,description,n_countries,n_samples
MIG2_P_BJ,"Commune of previous residence, Benin; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_P_BJ,MIG2_P_BJ indicates the person's commune of previous residence within Benin. Migration commune codes from MIG2_P_BJ are compatible with codes from GEO2_BJ . The migration could have occurred at any time in the past. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
MIG2_P_BR,"Municipality of previous residence, Brazil; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_P_BR,MIG2_P_BR indicates the person's municipality of previous residence within Brazil. Migration municipality codes from MIG2_P_BR are compatible with codes from GEO2_BR . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_P_CM,"Arrondissement/Department of previous residence, Cameroon; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_P_CM,MIG2_P_CM indicates the person's department of previous residence within Cameroon. Migration department codes for MIG2_P_CM are compatible with codes for GEO2_CM . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_P_CN,"Prefecture of previous residence, China; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_P_CN,MIG2_P_CN indicates the person's prefecture of previous residence within China. Migration prefecture codes from MIG2_P_CN are compatible with codes from GEO2_CN . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_P_CO,"Municipality of previous residence, Colombia; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_P_CO,MIG2_P_CO indicates the person's municipality of previous residence in Colombia. Migration municipality codes from MIG2_P_CO are compatible with codes from GEO2_CO . MIG2_P_CO is only available for the 1973 sample. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_P_CR,"Canton of previous residence, Costa Rica; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_P_CR,MIG2_P_CR indicates the person's canton of previous residence within Costa Rica. Migration canton codes from MIG2_P_CR are compatible with codes from GEO2_CR . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_P_CU,"Municipality of previous residence, Cuba; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_P_CU,MIG2_P_CU indicates the person's municipality of previous residence within Cuba. Migration municipality codes from MIG2_P_CU are compatible with codes from GEO2_CU . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_P_EC,"Canton of previous residence, Ecuador; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_P_EC,MIG2_P_EC indicates the person's previous canton of residence in Ecuador. Migration canton codes for MIG2_P_EC are compatible with codes for GEO2_EC . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_P_EG,"District of previous residence, Egypt; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_P_EG,MIG2_P_EG indicates the person's district of previous residence in Egypt. Migration province codes from MIG2_P_EG are compatible with codes from GEO2_EG . Migration could have occurred at any time in the past. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_P_ES,"Province of previous residence, Spain; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_P_ES,MIG2_P_ES indicates the person's province of previous residence within Spain. The migration could have occurred at any time in the past. Migration province codes from MIG2_P_ES are compatible with codes from GEO2_ES . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_P_ET,"Zone of previous residence, Ethiopia; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_P_ET,MIG2_P_ET indicates the person's zone of previous residence within Ethiopia. Migration zone codes from MIG2_P_ET are compatible with codes from GEO2_ET . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_P_GT,"Municipality of previous residence, Guatemala; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_P_GT,MIG2_P_GT indicates the person's municipality of previous residence within Guatemala. Migration municipality codes for MIG2_P_GT are compatible with codes for GEO2_GT . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_P_HT,"Arrondissement of previous residence, Haiti; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_P_HT,MIG2_P_HT indicates the person's arrondissement of previous residence in Haiti. Migration arrondissement codes from MIG2_P_HT are compatible with codes from GEO2_HT . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_P_ID,"Regency of previous residence, Indonesia; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_P_ID,"MIG2_P_ID indicates the person's regency of previous residence within Indonesia. The migration could have occurred at any time in the past. MIG2_P_ID is only available for the 1985, 1995, and 2005 samples. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,3
MIG2_P_IR,"Sub-Province of previous residence, Iran; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_P_IR,MIG2_P_IR indicates the person's sub-province of previous residence within Iran. Migration sub-province codes from MIG2_P_IR are compatible with codes from GEO2_IR . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
